original_title;english_title;rating;year;film_poster;genres
Gone with the Wind;Gone with the Wind;8.3;1940;;Drama,Romance,War
3 Idiots;3 Idiots;8.4;2010;;Comedy,Drama
Dirty Harry;Dirty Harry;8.2;1971;;Action,Crime,Thriller
Rosemary's Baby;Rosemary's Baby;5.0;2014;;Drama,Horror,Mystery,Thriller
The Truman Show;The Truman Show;8.7;1998;;Comedy,Drama
Gifted;Gifted;7.5;2017;;Drama
Time to Die;Time to Die;6.3;2021;;Action,Adventure,Thriller
Network;Network;8.3;1976;;Drama
Untouchable;Untouchable;8.5;2019;;Documentary,Biography,Crime
Ghost in the Shell;Ghost in the Shell;7.3;2004;;Animation,Drama,Mystery,Sci-Fi,Thriller
Jojo Rabbit;Jojo Rabbit;7.3;2004;;Animation,Drama,Mystery,Sci-Fi,Thriller
Big Fish;Big Fish;8.1;2003;;Adventure,Drama,Fantasy,Romance
The Return;The Return;7.3;2024;;History
City of Angels;City of Angels;4.5;2020;;Crime,Drama,Fantasy,History,Horror,Mystery,Thriller
Changeling;Changeling;7.6;2008;;Biography,Crime,Drama,History,Mystery,Thriller
Memento;Memento;8.8;2001;;Mystery,Thriller
Seven Pounds;Seven Pounds;6.8;2008;;Drama,Mystery,Thriller
V for Vendetta;V for Vendetta;8.4;2006;;Action,Drama,Sci-Fi,Thriller
Black Hawk Down;Black Hawk Down;7.9;2001;;Action,Drama,History,War
Scarface;Scarface;8.7;1983;;Crime,Drama
Song of the Sea;Song of the Sea;8.4;2014;;Animation,Adventure,Drama,Family,Fantasy
Back to the Future Part II;Back to the Future Part II;8.3;1989;;Adventure,Comedy,Sci-Fi
Natural Born Killers;Natural Born Killers;6.9;1994;;Crime,Romance
Ratatouille;Ratatouille;8.5;2007;;Animation,Adventure,Comedy,Family,Fantasy
Lawrence of Arabia;Lawrence of Arabia;8.5;2002;;Adventure,Biography,Drama,War
Annie Hall;Annie Hall;7.1;1977;;Comedy,Romance
Million Dollar Baby;Million Dollar Baby;8.3;2004;;Drama,Sport
Hidden Figures;Hidden Figures;7.5;2016;;Biography,Drama,History
The Silence of the Lambs;The Silence of the Lambs;8.8;1991;;Crime,Drama,Thriller
The Deer Hunter;The Deer Hunter;8.1;1978;;Drama,War
On the Waterfront;On the Waterfront;8.4;1954;;Crime,Drama,Thriller
Fargo;Fargo;8.7;2014;;Crime,Drama,Thriller
The Seventh Seal;The Seventh Seal;8.5;1958;;Drama,Fantasy
The Secret in Their Eyes;The Secret in Their Eyes;8.4;2010;;Drama,Mystery,Romance,Thriller
Fiddler on the Roof;Fiddler on the Roof;8.2;1971;;Drama,Family,Musical,Romance
Misery;Misery;8.3;1990;;Drama,Thriller
Tangerines;Tangerines;8.1;2015;;Drama,War
Toy Story 3;Toy Story 3;8.8;2010;;Animation,Adventure,Comedy,Family,Fantasy
The Father;The Father;8.6;2021;;Drama,Mystery
The Hunt for Red October;The Hunt for Red October;7.6;1990;;Action,Adventure,Thriller
Donnie Brasco;Donnie Brasco;7.8;1997;;Biography,Crime,Drama
American History X;American History X;8.4;1998;;Crime,Drama
The Grand Budapest Hotel;The Grand Budapest Hotel;8.4;2014;;Adventure,Comedy,Crime
Harry Potter and the Goblet of Fire;Harry Potter and the Goblet of Fire;7.9;2005;;Adventure,Family,Fantasy,Mystery
Persepolis;Persepolis;8.2;2007;;Animation,Biography,Drama,History,War
Hotel Rwanda;Hotel Rwanda;8.1;2004;;Biography,Drama,History,War
Dangal;Dangal;8.3;2016;;Action,Biography,Drama,Sport
Blade Runner 2049;Blade Runner 2049;8.3;2017;;Action,Drama,Mystery,Sci-Fi,Thriller
Edward Scissorhands;Edward Scissorhands;8.3;1990;;Drama,Fantasy,Romance
A Fistful of Dollars;A Fistful of Dollars;8.0;1967;;Drama,Western
Cast Away;Cast Away;7.9;2000;;Adventure,Drama,Romance
Donnie Darko;Donnie Darko;8.7;2004;;Drama,Mystery,Sci-Fi,Thriller
The Legend of 1900;The Legend of 1900;8.1;1999;;Drama,Music,Romance
Shrek 2;Shrek 2;8.5;2004;;Animation,Adventure,Comedy,Family,Fantasy,Romance
Amores perros;Amores perros;8.4;2001;;Drama,Thriller
Philadelphia;Philadelphia;7.7;1993;;Drama
Django Unchained;Django Unchained;8.6;2012;;Comedy,Drama,Western
The Piano Lesson;The Piano Lesson;5.9;2024;;Drama,Music
The Bucket List;The Bucket List;6.9;2007;;Adventure,Comedy,Drama
Hercules;Hercules;8.0;1997;;Animation,Action,Adventure,Comedy,Family,Fantasy,Musical,Romance
Green Book;Green Book;8.0;2018;;Biography,Comedy,Drama,Music
Rear Window;Rear Window;8.7;1954;;Drama,Mystery,Thriller
How to Train Your Dragon 2;How to Train Your Dragon 2;8.4;2014;;Animation,Action,Adventure,Comedy,Family,Fantasy
Meet Joe Black;Meet Joe Black;6.9;1998;;Drama,Fantasy,Romance
The Dark Knight;The Dark Knight;9.1;2008;;Action,Crime,Drama,Thriller
Hamilton;Hamilton;7.7;2020;;Biography,Drama,History,Musical
Stalker;Stalker;7.9;1982;;Drama,Sci-Fi
For a Few Dollars More;For a Few Dollars More;8.4;1967;;Drama,Western
The Wild Robot;The Wild Robot;8.5;2024;;Animation,Sci-Fi
Guardians of the Galaxy Vol. 3;Guardians of the Galaxy Vol. 3;8.0;2023;;Action,Adventure,Comedy,Sci-Fi
Dune: Part Two;Dune: Part Two;8.4;2024;;Action,Adventure,Drama,Sci-Fi
Warrior;Warrior;8.3;2011;;Action,Drama,Sport
Top Gun: Maverick;Top Gun: Maverick;8.4;2022;;Action,Drama
The Wizard of Oz;The Wizard of Oz;8.4;1939;;Adventure,Family,Fantasy,Musical
Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episode V - The Empire Strikes Back;9.2;1980;;Action,Adventure,Fantasy,Sci-Fi
A Walk to Remember;A Walk to Remember;6.5;2002;;Drama,Romance
Three Colors: Blue;Three Colors: Blue;8.5;1993;;Drama,Music,Mystery,Romance
Finding Neverland;Finding Neverland;7.6;2004;;Biography,Drama,Family
L.A. Confidential;L.A. Confidential;8.5;1997;;Crime,Drama,Mystery,Thriller
Tokyo Story;Tokyo Story;8.5;1972;;Drama
Mr. Smith Goes to Washington;Mr. Smith Goes to Washington;7.9;1939;;Comedy,Drama
How to Train Your Dragon;How to Train Your Dragon;8.4;2014;;Animation,Action,Adventure,Comedy,Family,Fantasy
The Help;The Help;7.9;2011;;Drama
Platoon;Platoon;8.1;1986;;Drama,War
Psycho;Psycho;8.9;1960;;Horror,Mystery,Thriller
Akira;Akira;8.4;1989;;Animation,Drama,Fantasy,Sci-Fi
Prisoners;Prisoners;8.2;2013;;Crime,Drama,Mystery,Thriller
Before Sunrise;Before Sunrise;8.7;1995;;Drama,Romance
Howl's Moving Castle;Howl's Moving Castle;8.6;2005;;Animation,Adventure,Family,Fantasy
Harakiri;Harakiri;8.6;1964;;Drama,Mystery
Parasite;Parasite;8.9;2019;;Drama,Thriller
Hair;Hair;7.2;1979;;Comedy,Drama,Musical,Romance,War
Three Colors: White;Three Colors: White;8.0;1994;;Comedy,Drama,Romance
300;300;7.1;2007;;Action,Drama
The Lord of the Rings: The War of the Rohirrim;The Lord of the Rings: The War of the Rohirrim;5.3;2024;;Animation,Action,Adventure,Drama,Fantasy
The Usual Suspects;The Usual Suspects;8.5;1995;;Crime,Drama,Mystery,Thriller
Adam's Apples;Adam's Apples;7.8;2007;;Comedy,Crime,Drama
Puss in Boots: The Last Wish;Puss in Boots: The Last Wish;8.8;2022;;Animation,Action,Adventure,Comedy,Family,Fantasy
The Handmaiden;The Handmaiden;8.5;2016;;Drama,Romance,Thriller
A Dog's Purpose;A Dog's Purpose;6.3;2017;;Adventure,Comedy,Drama,Family,Fantasy
The Treasure of the Sierra Madre;The Treasure of the Sierra Madre;8.3;1948;;Adventure,Drama,Western
Indiana Jones and the Last Crusade;Indiana Jones and the Last Crusade;8.6;1989;;Action,Adventure
Star Wars: Episode IV - A New Hope;Star Wars: Episode IV - A New Hope;8.9;1977;;Action,Adventure,Fantasy,Sci-Fi
Your Name.;Your Name.;8.9;2017;;Animation,Drama,Fantasy,Romance
Singin' in the Rain;Singin' in the Rain;8.7;1952;;Comedy,Musical,Romance
Kill Bill: Vol. 2;Kill Bill: Vol. 2;8.2;2004;;Action,Crime,Thriller
Three Billboards Outside Ebbing, Missouri;Three Billboards Outside Ebbing, Missouri;7.8;2017;;Comedy,Crime,Drama
Lock, Stock and Two Smoking Barrels;Lock, Stock and Two Smoking Barrels;8.3;1999;;Comedy,Crime
Boys Don't Cry;Boys Don't Cry;7.9;1999;;Biography,Crime,Drama,Romance
Shrek;Shrek;8.6;2001;;Animation,Adventure,Comedy,Family,Fantasy,Romance
Black Cat, White Cat;Black Cat, White Cat;7.3;1999;;Comedy,Crime,Romance
Paris, Texas;Paris, Texas;7.7;1984;;Drama
Grave of the Fireflies;Grave of the Fireflies;8.9;1989;;Animation,Drama,War
Ocean's Eleven;Ocean's Eleven;8.0;2001;;Crime,Thriller
I Am Legend;I Am Legend;7.3;2007;;Drama,Horror,Sci-Fi,Thriller
Cinderella Man;Cinderella Man;7.9;2005;;Biography,Drama,Romance,Sport
The Hobbit: The Desolation of Smaug;The Hobbit: The Desolation of Smaug;7.7;2013;;Adventure,Fantasy
Pink Floyd: The Wall;Pink Floyd: The Wall;8.4;1982;;Drama,Fantasy,Music
Sherlock Holmes: A Game of Shadows;Sherlock Holmes: A Game of Shadows;7.4;2011;;Action,Adventure,Mystery
